iter	Passed	Remaining
0	122	122375
1	123	61651
2	124	41347
3	125	31164
4	125	25060
5	126	20977
6	127	18067
7	128	15911
8	129	14207
9	129	12841
10	130	11724
11	131	10802
12	131	10018
13	132	9344
14	133	8758
15	134	8257
16	135	7808
17	135	7405
18	136	7048
19	137	6726
20	138	6442
21	138	6174
22	139	5932
23	140	5711
24	141	5515
25	142	5331
26	142	5151
27	143	4985
28	144	4830
29	144	4685
30	145	4557
31	146	4434
32	147	4317
33	148	4206
34	148	4102
35	149	4004
36	150	3910
37	151	3823
38	151	3739
39	152	3660
40	153	3584
41	153	3512
42	154	3444
43	155	3377
44	156	3313
45	156	3251
46	157	3191
47	158	3136
48	158	3084
49	159	3034
50	160	2985
51	161	2937
52	161	2893
53	162	2850
54	163	2808
55	164	2767
56	164	2728
57	165	2689
58	166	2652
59	166	2616
60	167	2581
61	168	2548
62	169	2515
63	169	2483
64	170	2452
65	171	2423
66	171	2394
67	172	2366
68	173	2341
69	174	2315
70	174	2289
71	175	2264
72	176	2240
73	177	2216
74	177	2194
75	178	2172
76	179	2151
77	180	2129
78	180	2108
79	181	2088
80	182	2069
81	183	2049
82	183	2027
83	184	2008
84	185	1991
85	185	1974
86	186	1957
87	187	1940
88	187	1924
89	188	1907
90	189	1891
91	190	1876
92	190	1860
93	191	1844
94	192	1830
95	192	1815
96	193	1801
97	194	1788
98	195	1775
99	195	1761
100	196	1749
101	197	1736
102	197	1723
103	198	1710
104	199	1698
105	199	1686
106	200	1674
107	201	1664
108	202	1652
109	202	1641
110	203	1630
111	204	1620
112	205	1609
113	205	1599
114	206	1588
115	207	1578
116	207	1567
117	208	1558
118	209	1549
119	209	1539
120	210	1530
121	211	1520
122	211	1511
123	212	1502
124	213	1494
125	214	1486
126	214	1476
127	215	1468
128	216	1460
129	217	1452
130	217	1444
131	218	1436
132	219	1429
133	219	1421
134	220	1413
135	221	1405
136	221	1398
137	222	1391
138	223	1384
139	224	1377
140	224	1370
141	225	1361
142	226	1354
143	226	1348
144	227	1341
145	228	1334
146	228	1328
147	229	1322
148	230	1315
149	231	1309
150	231	1303
151	232	1297
152	233	1291
153	234	1285
154	234	1279
155	235	1274
156	236	1268
157	236	1262
158	237	1256
159	238	1250
160	238	1243
161	239	1238
162	240	1233
163	240	1227
164	241	1222
165	242	1217
166	242	1211
167	243	1206
168	244	1201
169	245	1196
170	245	1191
171	246	1186
172	247	1181
173	248	1177
174	248	1172
175	249	1167
176	250	1163
177	250	1158
178	251	1153
179	252	1149
180	253	1144
181	253	1140
182	254	1136
183	255	1131
184	255	1127
185	256	1122
186	257	1118
187	257	1114
188	258	1110
189	259	1105
190	260	1101
191	260	1097
192	261	1093
193	262	1089
194	263	1085
195	263	1082
196	264	1077
197	265	1074
198	265	1070
199	266	1066
200	267	1062
201	267	1058
202	269	1057
203	269	1053
204	270	1049
205	271	1046
206	272	1042
207	272	1038
208	273	1035
209	274	1032
210	275	1028
211	276	1027
212	277	1024
213	277	1020
214	278	1017
215	279	1014
216	280	1010
217	280	1007
218	281	1003
219	282	1000
220	282	997
221	283	994
222	284	990
223	285	987
224	285	984
225	286	981
226	287	978
227	287	975
228	288	972
229	289	969
230	290	966
231	291	963
232	291	960
233	292	957
234	293	954
235	293	951
236	294	948
237	295	945
238	296	942
239	296	939
240	297	937
241	298	934
242	298	931
243	299	928
244	300	925
245	301	922
246	301	920
247	302	917
248	303	914
249	303	911
250	304	909
251	305	906
252	306	904
253	306	901
254	307	898
255	308	896
256	309	893
257	309	890
258	310	888
259	311	885
260	311	883
261	312	880
262	313	878
263	314	875
264	314	873
265	315	870
266	316	868
267	316	865
268	317	863
269	318	860
270	319	858
271	319	856
272	320	853
273	321	851
274	322	849
275	323	847
276	323	845
277	324	842
278	325	840
279	326	838
280	326	836
281	327	833
282	328	831
283	328	829
284	329	826
285	330	824
286	330	822
287	331	819
288	332	817
289	332	815
290	333	812
291	334	810
292	334	808
293	335	806
294	336	803
295	337	801
296	337	799
297	338	797
298	339	795
299	340	793
300	340	791
301	341	789
302	342	787
303	342	785
304	343	783
305	344	781
306	345	779
307	345	777
308	346	775
309	347	773
310	348	771
311	348	768
312	349	767
313	350	765
314	351	763
315	351	761
316	352	759
317	353	757
318	354	755
319	354	754
320	355	752
321	356	750
322	357	748
323	358	747
324	358	745
325	359	743
326	360	741
327	362	741
328	362	740
329	363	738
330	364	736
331	365	734
332	365	732
333	366	731
334	367	729
335	368	727
336	369	726
337	370	724
338	370	723
339	371	721
340	372	719
341	372	717
342	373	715
343	374	714
344	375	712
345	376	711
346	377	709
347	377	707
348	378	706
349	379	704
350	379	702
351	380	700
352	381	699
353	382	697
354	382	695
355	383	693
356	384	692
357	385	690
358	385	689
359	386	687
360	387	685
361	388	684
362	388	682
363	389	680
364	390	678
365	390	677
366	391	675
367	392	674
368	393	672
369	394	671
370	394	669
371	395	667
372	396	666
373	397	664
374	397	663
375	398	661
376	399	660
377	400	658
378	400	656
379	401	655
380	402	653
381	403	652
382	403	650
383	404	649
384	405	647
385	406	646
386	406	644
